age,job,marital,education,default,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,sexo,customer,balance_clp,morgage_loan,conversion,age_group
36,admin.,divorced,secondary,no,yes,no,unknown,5,may,577,1,-1,0,unknown,no,mujer,wb81824,275600.0,,0,"[30, 40)"
37,admin.,single,secondary,no,yes,no,unknown,5,may,137,1,-1,0,unknown,no,mujer,rv45492,225000.0,,0,"[30, 40)"
44,,,secondary,no,yes,no,unknown,5,may,160,1,-1,0,unknown,no,mujer,if85190,258600.0,,0,"[40, 50)"
50,management,married,secondary,no,yes,no,unknown,5,may,180,2,-1,0,unknown,no,mujer,ti72645,229900.0,,0,"[50, 60)"
60,blue-collar,married,unknown,no,yes,no,unknown,5,may,22,1,-1,0,unknown,no,mujer,hv39189,235400.0,,0,"[60, 70)"
54,retired,married,secondary,no,yes,no,unknown,5,may,1492,1,-1,0,unknown,no,mujer,hb76051,277900.0,,0,"[50, 60)"
58,retired,married,unknown,no,yes,no,unknown,5,may,616,1,-1,0,unknown,no,mujer,rx45347,234600.0,,0,"[50, 60)"
36,admin.,single,primary,no,yes,no,unknown,5,may,242,1,-1,0,unknown,no,hombre,qs37919,207900.0,,0,"[30, 40)"
58,self-employed,married,tertiary,no,yes,no,unknown,5,may,355,1,-1,0,unknown,no,hombre,fd43531,188600.0,,0,"[50, 60)"
44,technician,married,secondary,no,yes,no,unknown,5,may,225,2,-1,0,unknown,no,mujer,oz25995,225000.0,,0,"[40, 50)"
55,technician,divorced,secondary,no,no,no,unknown,5,may,160,1,-1,0,unknown,no,hombre,am98007,225000.0,,0,"[50, 60)"
29,,single,tertiary,no,yes,no,unknown,5,may,363,1,-1,0,unknown,no,hombre,cg64970,225000.0,,0,"[18, 30)"
54,blue-collar,married,secondary,no,yes,no,unknown,5,may,266,1,-1,0,unknown,no,mujer,gl55511,354100.0,,0,"[50, 60)"
48,management,divorced,tertiary,no,yes,no,unknown,5,may,253,1,-1,0,unknown,no,hombre,zi08220,200600.0,,0,"[40, 50)"
32,management,married,tertiary,no,yes,no,unknown,5,may,179,1,-1,0,unknown,no,mujer,un29976,225000.0,,0,"[30, 40)"
42,admin.,single,secondary,no,yes,no,unknown,5,may,787,1,-1,0,,no,mujer,ah22931,217400.0,,0,"[40, 50)"
24,,single,secondary,no,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,hombre,zj72936,214700.0,,0,"[18, 30)"
38,entrepreneur,single,tertiary,no,no,yes,unknown,5,may,174,1,-1,0,unknown,no,mujer,hg19741,249300.0,,0,"[30, 40)"
38,management,single,tertiary,no,yes,no,unknown,5,may,104,1,-1,0,unknown,no,mujer,po26163,267400.0,,0,"[30, 40)"
47,blue-collar,married,unknown,no,yes,no,unknown,5,may,13,1,-1,0,unknown,no,hombre,wc13209,255600.0,,0,"[40, 50)"
40,blue-collar,single,unknown,no,yes,no,unknown,5,may,185,1,-1,0,unknown,no,hombre,ni11237,227400.0,,0,"[40, 50)"
46,services,married,primary,no,yes,no,unknown,5,may,1778,1,-1,0,unknown,no,hombre,qu00564,242900.0,,0,"[40, 50)"
32,admin.,married,tertiary,no,yes,no,unknown,5,may,138,1,-1,0,unknown,no,mujer,hk62030,225000.0,,0,"[30, 40)"
53,technician,divorced,secondary,no,yes,no,unknown,5,may,812,1,-1,0,unknown,no,mujer,ci80201,323900.0,,0,"[50, 60)"
57,blue-collar,married,primary,no,yes,no,unknown,5,may,164,1,-1,0,unknown,no,hombre,as26773,249900.0,,0,"[50, 60)"
33,services,married,secondary,no,yes,no,unknown,5,may,391,1,-1,0,unknown,no,hombre,ya05037,304000.0,,0,"[30, 40)"
49,blue-collar,married,unknown,no,yes,no,unknown,5,may,357,1,-1,0,unknown,no,mujer,kg65295,240400.0,,0,"[40, 50)"
51,,married,tertiary,no,yes,no,unknown,5,may,91,1,-1,0,unknown,no,hombre,hu97786,653000.0,195900.0,0,"[50, 60)"
60,retired,married,tertiary,no,no,no,unknown,5,may,528,1,-1,0,unknown,no,mujer,mv04392,235000.0,,0,"[60, 70)"
59,management,divorced,tertiary,no,yes,no,unknown,5,may,273,1,-1,0,,no,hombre,tw20480,230900.0,,0,"[50, 60)"
55,technician,married,secondary,no,yes,no,unknown,5,may,158,2,-1,0,,no,hombre,ww92787,345500.0,,0,"[50, 60)"
35,blue-collar,single,secondary,no,yes,yes,unknown,5,may,177,1,-1,0,unknown,no,hombre,ab37362,1222300.0,366690.0,0,"[30, 40)"
57,blue-collar,married,secondary,no,yes,yes,unknown,5,may,258,1,-1,0,unknown,no,mujer,sw73530,593500.0,178050.0,0,"[50, 60)"
31,services,married,secondary,no,yes,yes,unknown,5,may,172,1,-1,0,unknown,no,mujer,lj75562,227500.0,,0,"[30, 40)"
54,management,married,secondary,no,yes,yes,unknown,5,may,154,1,-1,0,unknown,no,hombre,cr30465,253200.0,,0,"[50, 60)"
55,blue-collar,married,primary,no,yes,no,unknown,5,may,291,1,-1,0,unknown,no,mujer,oz05545,227300.0,,0,"[50, 60)"
43,technician,married,secondary,no,yes,no,unknown,5,may,181,1,-1,0,unknown,no,mujer,af27659,418700.0,,0,"[40, 50)"
53,technician,married,secondary,no,yes,no,unknown,5,may,176,1,-1,0,unknown,no,mujer,pt52337,263400.0,,0,"[50, 60)"
44,blue-collar,married,secondary,no,no,yes,unknown,5,may,211,1,-1,0,,no,hombre,by63412,283200.0,,0,"[40, 50)"
55,services,divorced,secondary,no,no,no,unknown,5,may,349,1,-1,0,unknown,no,hombre,rl30432,234100.0,,0,"[50, 60)"
49,services,divorced,secondary,no,yes,yes,unknown,5,may,272,1,-1,0,unknown,no,mujer,hl21235,225000.0,,0,"[40, 50)"
55,services,divorced,secondary,yes,yes,no,unknown,5,may,208,1,-1,0,unknown,no,hombre,dy59162,225100.0,,0,"[50, 60)"
45,,single,secondary,no,yes,no,unknown,5,may,193,1,-1,0,unknown,no,hombre,wn22328,245600.0,,0,"[40, 50)"
47,services,divorced,secondary,no,no,no,unknown,5,may,212,1,-1,0,unknown,no,hombre,rk45869,241400.0,,0,"[40, 50)"
42,technician,single,secondary,no,yes,no,unknown,5,may,20,1,-1,0,unknown,no,hombre,zb52034,294000.0,,0,"[40, 50)"
59,admin.,married,secondary,no,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes,hombre,mp23445,459300.0,,1,"[50, 60)"
46,self-employed,married,tertiary,no,yes,yes,unknown,5,may,246,1,-1,0,,no,mujer,lm12107,238700.0,,0,"[40, 50)"
51,blue-collar,married,primary,no,yes,no,unknown,5,may,529,2,-1,0,unknown,no,hombre,kw12949,242300.0,,0,"[50, 60)"
56,admin.,married,secondary,no,no,no,unknown,5,may,1467,1,-1,0,unknown,yes,mujer,ov70315,229500.0,,1,"[50, 60)"
41,technician,married,secondary,no,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes,hombre,vk12306,352000.0,,1,"[40, 50)"
46,management,divorced,secondary,no,yes,yes,unknown,5,may,188,2,-1,0,unknown,no,hombre,jw04886,226600.0,,0,"[40, 50)"
57,retired,married,secondary,no,yes,no,unknown,5,may,180,2,-1,0,unknown,no,mujer,xy84973,273600.0,,0,"[50, 60)"
42,management,single,secondary,no,no,no,unknown,5,may,48,1,-1,0,unknown,no,mujer,fn22483,230000.0,,0,"[40, 50)"
30,technician,married,secondary,no,yes,yes,unknown,5,may,213,2,-1,0,unknown,no,mujer,wv91179,240200.0,,0,"[30, 40)"
60,admin.,married,secondary,no,yes,no,unknown,5,may,583,1,-1,0,unknown,no,mujer,oe99059,254000.0,,0,"[60, 70)"
60,blue-collar,married,unknown,no,yes,no,unknown,5,may,221,1,-1,0,unknown,no,hombre,br82745,230400.0,,0,"[60, 70)"
57,entrepreneur,divorced,secondary,no,no,no,unknown,5,may,173,1,-1,0,unknown,no,mujer,uv12530,221300.0,,0,"[50, 60)"
36,management,married,tertiary,no,yes,yes,unknown,5,may,426,1,-1,0,unknown,no,mujer,xv32310,235100.0,,0,"[30, 40)"
55,blue-collar,married,secondary,no,no,no,unknown,5,may,287,1,-1,0,unknown,no,hombre,yx36044,263300.0,,0,"[50, 60)"
60,retired,married,tertiary,no,yes,no,unknown,5,may,101,1,-1,0,unknown,no,hombre,tk26243,233100.0,,0,"[60, 70)"
39,technician,married,secondary,no,yes,no,unknown,5,may,203,1,-1,0,unknown,no,hombre,tr39711,225000.0,,0,"[30, 40)"
46,management,married,tertiary,no,yes,no,unknown,5,may,197,1,-1,0,unknown,no,hombre,pk81149,247900.0,,0,"[40, 50)"
44,blue-collar,married,secondary,no,yes,no,unknown,5,may,257,1,-1,0,,no,mujer,ix28921,157600.0,,0,"[40, 50)"
53,blue-collar,married,primary,no,no,no,unknown,5,may,124,1,-1,0,unknown,no,mujer,sy20146,234000.0,,0,"[50, 60)"
52,blue-collar,married,primary,no,yes,no,unknown,5,may,229,1,-1,0,unknown,no,mujer,rc63986,237800.0,,0,"[50, 60)"
59,blue-collar,married,primary,no,yes,no,unknown,5,may,55,3,-1,0,unknown,no,hombre,ap11001,242900.0,,0,"[50, 60)"
27,technician,single,tertiary,no,yes,no,unknown,5,may,400,1,-1,0,unknown,no,hombre,fd57200,225000.0,,0,"[18, 30)"
44,blue-collar,married,secondary,no,yes,no,unknown,5,may,197,1,-1,0,unknown,no,mujer,ge23715,230400.0,,0,"[40, 50)"
47,technician,married,tertiary,no,yes,no,unknown,5,may,190,1,-1,0,,no,hombre,mq57120,240100.0,,0,"[40, 50)"
34,admin.,married,secondary,no,no,yes,unknown,5,may,21,1,-1,0,unknown,no,hombre,pm50850,231100.0,,0,"[30, 40)"
59,retired,single,secondary,no,yes,no,unknown,5,may,514,1,-1,0,unknown,no,mujer,wi79189,228000.0,,0,"[50, 60)"
45,management,married,tertiary,no,yes,no,unknown,5,may,849,2,-1,0,,no,mujer,sn35288,277300.0,,0,"[40, 50)"
29,services,divorced,secondary,no,yes,no,unknown,5,may,194,1,-1,0,unknown,no,hombre,cj16154,228100.0,,0,"[18, 30)"
46,technician,divorced,secondary,no,no,no,unknown,5,may,144,1,-1,0,unknown,no,hombre,rj87335,232900.0,,0,"[40, 50)"
56,self-employed,married,primary,no,yes,yes,unknown,5,may,212,2,-1,0,unknown,no,mujer,eu98905,221600.0,,0,"[50, 60)"
36,blue-collar,married,primary,no,yes,no,unknown,5,may,286,1,-1,0,unknown,no,hombre,wz98672,269800.0,,0,"[30, 40)"
59,retired,divorced,primary,no,yes,no,unknown,5,may,107,1,-1,0,unknown,no,mujer,ox23759,233100.0,,0,"[50, 60)"
44,blue-collar,married,secondary,no,yes,no,unknown,5,may,247,2,-1,0,unknown,no,mujer,ky91885,239400.0,,0,"[40, 50)"
41,admin.,married,secondary,no,yes,no,unknown,5,may,518,1,-1,0,unknown,no,mujer,qr71301,260100.0,,0,"[40, 50)"
33,management,single,tertiary,no,yes,no,unknown,5,may,364,1,-1,0,unknown,no,hombre,wb19784,218300.0,,0,"[30, 40)"
59,management,divorced,tertiary,no,no,no,unknown,5,may,178,1,-1,0,unknown,no,mujer,iy37601,251200.0,,0,"[50, 60)"
57,technician,married,primary,no,no,no,unknown,5,may,98,1,-1,0,unknown,no,mujer,lc75822,225000.0,,0,"[50, 60)"
56,technician,divorced,unknown,no,yes,no,unknown,5,may,439,1,-1,0,unknown,no,mujer,bu85461,230600.0,,0,"[50, 60)"
51,blue-collar,married,secondary,no,yes,no,unknown,5,may,79,1,-1,0,unknown,no,mujer,hz29566,227600.0,,0,"[50, 60)"
34,,married,unknown,no,yes,no,unknown,5,may,120,3,-1,0,unknown,no,mujer,or54280,225300.0,,0,"[30, 40)"
43,services,married,secondary,no,yes,yes,unknown,5,may,127,2,-1,0,unknown,no,hombre,ms92303,229100.0,,0,"[40, 50)"
52,technician,married,tertiary,no,no,yes,unknown,5,may,175,1,-1,0,unknown,no,hombre,hf35196,225700.0,,0,"[50, 60)"
33,technician,single,secondary,no,yes,no,unknown,5,may,262,2,-1,0,unknown,no,mujer,ly74556,235500.0,,0,"[30, 40)"
29,admin.,single,secondary,no,yes,yes,unknown,5,may,61,1,-1,0,unknown,no,hombre,us76416,306800.0,,0,"[18, 30)"
34,services,married,secondary,no,yes,yes,unknown,5,may,78,1,-1,0,unknown,no,hombre,nm40630,223400.0,,0,"[30, 40)"
31,blue-collar,married,secondary,no,yes,no,unknown,5,may,143,1,-1,0,unknown,no,hombre,ve86403,225000.0,,0,"[30, 40)"
55,services,married,secondary,no,yes,no,unknown,5,may,579,1,-1,0,unknown,yes,hombre,cv68349,472600.0,,1,"[50, 60)"
55,management,,unknown,no,no,no,unknown,5,may,677,1,-1,0,,no,mujer,sj77320,343500.0,,0,"[50, 60)"
32,admin.,single,secondary,no,yes,no,unknown,5,may,345,1,-1,0,unknown,no,mujer,li29071,246700.0,,0,"[30, 40)"
38,technician,single,secondary,no,yes,no,unknown,5,may,185,1,-1,0,unknown,no,mujer,gy62365,393500.0,,0,"[30, 40)"
55,admin.,single,secondary,no,yes,yes,unknown,5,may,100,2,-1,0,unknown,no,hombre,pv98602,305200.0,,0,"[50, 60)"
28,unemployed,single,tertiary,no,yes,no,unknown,5,may,125,2,-1,0,unknown,no,hombre,me99577,225000.0,,0,"[18, 30)"
23,blue-collar,married,secondary,no,yes,no,unknown,5,may,193,1,-1,0,unknown,no,mujer,yq42703,234400.0,,0,"[18, 30)"
32,technician,single,secondary,no,yes,no,unknown,5,may,136,1,-1,0,unknown,no,mujer,tt05420,225000.0,,0,"[30, 40)"
43,services,single,unknown,no,no,no,unknown,5,may,73,1,-1,0,,no,hombre,ns31162,225000.0,,0,"[40, 50)"
32,blue-collar,married,secondary,no,yes,no,unknown,5,may,528,1,-1,0,,no,hombre,yu12185,276700.0,,0,"[30, 40)"
46,blue-collar,married,secondary,no,yes,no,unknown,5,may,541,1,-1,0,unknown,no,mujer,yb15799,251500.0,,0,"[40, 50)"
53,housemaid,divorced,primary,no,yes,no,unknown,5,may,163,1,-1,0,unknown,no,mujer,qt75588,319700.0,,0,"[50, 60)"
34,self-employed,single,secondary,no,yes,no,unknown,5,may,301,1,-1,0,unknown,no,hombre,fa50436,225300.0,,0,"[30, 40)"
57,unemployed,married,tertiary,no,no,no,unknown,5,may,46,1,-1,0,unknown,no,mujer,yi13042,229200.0,,0,"[50, 60)"
37,blue-collar,married,secondary,no,yes,no,unknown,5,may,204,1,-1,0,unknown,no,hombre,ds25439,228700.0,,0,"[30, 40)"
59,blue-collar,married,secondary,no,yes,no,unknown,5,may,98,1,-1,0,unknown,no,mujer,fo31441,230700.0,,0,"[50, 60)"
33,services,married,secondary,no,yes,no,unknown,5,may,71,1,-1,0,unknown,no,mujer,kp52511,227200.0,,0,"[30, 40)"
56,blue-collar,,primary,no,yes,no,unknown,5,may,157,2,-1,0,unknown,no,hombre,ah86093,225800.0,,0,"[50, 60)"
48,unemployed,married,secondary,no,yes,no,unknown,5,may,243,1,-1,0,unknown,no,hombre,ai82691,254300.0,,0,"[40, 50)"
43,services,married,primary,no,yes,no,unknown,5,may,186,2,-1,0,unknown,no,mujer,uk03815,225300.0,,0,"[40, 50)"
54,blue-collar,married,primary,no,yes,no,unknown,5,may,579,2,-1,0,unknown,no,hombre,ph36719,259800.0,,0,"[50, 60)"
51,blue-collar,married,unknown,no,yes,no,unknown,5,may,163,2,-1,0,unknown,no,hombre,rm42163,223100.0,,0,"[50, 60)"
26,student,single,secondary,no,yes,no,unknown,5,may,610,2,-1,0,unknown,no,mujer,pc59308,225000.0,,0,"[18, 30)"
40,management,married,tertiary,no,yes,no,unknown,5,may,2033,1,-1,0,unknown,no,hombre,yw14772,224600.0,,0,"[40, 50)"
39,management,married,secondary,no,yes,no,unknown,5,may,85,1,-1,0,unknown,no,hombre,mi67435,226800.0,,0,"[30, 40)"
50,technician,married,primary,no,no,no,unknown,5,may,114,2,-1,0,unknown,no,mujer,xo38865,238900.0,,0,"[50, 60)"
41,services,,secondary,no,yes,no,unknown,5,may,114,2,-1,0,unknown,no,mujer,sa95466,225000.0,,0,"[40, 50)"
51,blue-collar,married,unknown,no,yes,no,unknown,5,may,57,1,-1,0,,no,mujer,ps61870,413300.0,,0,"[50, 60)"
60,retired,divorced,secondary,no,yes,no,unknown,5,may,238,1,-1,0,unknown,no,hombre,gq17178,246600.0,,0,"[60, 70)"
52,blue-collar,married,secondary,no,yes,no,unknown,5,may,93,3,-1,0,unknown,no,mujer,xc63519,303200.0,,0,"[50, 60)"
48,blue-collar,married,secondary,no,yes,no,unknown,5,may,128,2,-1,0,,no,mujer,sd42953,315400.0,,0,"[40, 50)"
48,services,married,unknown,no,yes,no,unknown,5,may,107,1,-1,0,unknown,no,mujer,qz78288,395500.0,,0,"[40, 50)"
39,technician,single,tertiary,no,yes,no,unknown,5,may,181,1,-1,0,unknown,no,hombre,wb40171,229700.0,,0,"[30, 40)"
47,services,single,secondary,no,yes,no,unknown,5,may,303,2,-1,0,unknown,no,mujer,xb06687,242600.0,,0,"[40, 50)"
40,blue-collar,married,secondary,no,yes,no,unknown,5,may,558,5,-1,0,unknown,no,hombre,nb75005,347500.0,,0,"[40, 50)"
45,,married,secondary,no,yes,no,unknown,5,may,270,1,-1,0,,no,hombre,vs42326,233600.0,,0,"[40, 50)"
26,admin.,single,secondary,no,yes,no,unknown,5,may,228,1,-1,0,unknown,no,mujer,fv35401,233200.0,,0,"[18, 30)"
52,management,married,tertiary,no,yes,no,unknown,5,may,99,1,-1,0,unknown,no,hombre,mw39211,252100.0,,0,"[50, 60)"
54,technician,married,secondary,no,yes,no,unknown,5,may,240,1,-1,0,unknown,no,hombre,fi01747,362800.0,,0,"[50, 60)"
54,admin.,married,tertiary,no,no,no,unknown,5,may,673,2,-1,0,unknown,yes,hombre,ub39057,243400.0,,1,"[50, 60)"
50,blue-collar,married,primary,no,no,no,unknown,5,may,233,3,-1,0,,no,mujer,px04512,225000.0,,0,"[50, 60)"
35,blue-collar,married,secondary,no,yes,no,unknown,5,may,1056,1,-1,0,,no,mujer,er37521,225000.0,,0,"[30, 40)"
44,services,married,secondary,no,yes,yes,unknown,5,may,250,1,-1,0,unknown,no,hombre,ni41124,360700.0,,0,"[40, 50)"
53,entrepreneur,married,unknown,no,yes,no,unknown,5,may,252,1,-1,0,unknown,no,mujer,sp53574,226900.0,,0,"[50, 60)"
35,retired,,primary,no,no,no,unknown,5,may,138,1,-1,0,unknown,no,mujer,ft11706,268400.0,,0,"[30, 40)"
60,admin.,divorced,secondary,no,yes,no,unknown,5,may,130,1,-1,0,unknown,no,hombre,ox68668,,,0,"[60, 70)"
53,admin.,divorced,secondary,no,yes,no,unknown,5,may,412,1,-1,0,unknown,no,mujer,fm19484,340100.0,,0,"[50, 60)"
48,unemployed,married,secondary,no,yes,no,unknown,5,may,179,2,-1,0,unknown,no,hombre,wt18345,229100.0,,0,"[40, 50)"
34,technician,married,secondary,no,yes,no,unknown,5,may,19,2,-1,0,,no,mujer,zo97551,230100.0,,0,"[30, 40)"
54,services,married,secondary,no,yes,no,unknown,5,may,458,2,-1,0,unknown,no,mujer,cr69048,246400.0,,0,"[50, 60)"
51,management,married,secondary,no,yes,no,unknown,5,may,717,1,-1,0,unknown,no,mujer,pn67080,341100.0,,0,"[50, 60)"
31,services,married,tertiary,no,yes,no,unknown,5,may,313,1,-1,0,unknown,no,hombre,py43713,228700.0,,0,"[30, 40)"
35,technician,divorced,secondary,no,yes,no,unknown,5,may,683,2,-1,0,,no,mujer,so08585,303700.0,,0,"[30, 40)"
35,services,married,secondary,no,yes,no,unknown,5,may,1077,1,-1,0,unknown,no,hombre,dy75545,230900.0,,0,"[30, 40)"
38,technician,married,secondary,no,yes,no,unknown,5,may,416,1,-1,0,unknown,no,mujer,jh22427,250300.0,,0,"[30, 40)"
36,admin.,married,tertiary,no,yes,no,unknown,5,may,146,2,-1,0,unknown,no,hombre,hy02140,246100.0,,0,"[30, 40)"
58,retired,married,primary,no,yes,no,unknown,5,may,167,1,-1,0,unknown,no,mujer,ky54413,248500.0,,0,"[50, 60)"
40,services,divorced,unknown,no,yes,no,unknown,5,may,315,1,-1,0,unknown,no,mujer,nc03407,438400.0,,0,"[40, 50)"
54,management,married,secondary,no,no,no,unknown,5,may,140,1,-1,0,unknown,no,mujer,ok12314,408000.0,,0,"[50, 60)"
34,blue-collar,single,secondary,no,yes,yes,unknown,5,may,346,1,-1,0,unknown,no,mujer,hq31055,230300.0,,0,"[30, 40)"
31,management,single,tertiary,no,yes,no,unknown,5,may,562,1,-1,0,unknown,no,hombre,si23209,225000.0,,0,"[30, 40)"
51,retired,married,secondary,no,yes,no,unknown,5,may,172,1,-1,0,unknown,no,hombre,px20102,437700.0,,0,"[50, 60)"
33,management,married,tertiary,no,yes,no,unknown,5,may,217,1,-1,0,unknown,no,hombre,ye80933,262700.0,,0,"[30, 40)"
55,management,married,tertiary,no,yes,no,unknown,5,may,142,2,-1,0,,no,hombre,qe12111,232300.0,,0,"[50, 60)"
42,admin.,married,secondary,no,yes,no,unknown,5,may,67,1,-1,0,unknown,no,mujer,jj11019,269500.0,,0,"[40, 50)"
34,blue-collar,married,secondary,no,yes,no,unknown,5,may,291,1,-1,0,unknown,no,mujer,er37529,249300.0,,0,"[30, 40)"
33,blue-collar,single,secondary,no,yes,no,unknown,5,may,309,2,-1,0,,no,mujer,cm22840,255700.0,,0,"[30, 40)"
38,services,married,secondary,no,yes,no,unknown,5,may,248,1,-1,0,unknown,no,mujer,wv28509,240500.0,,0,"[30, 40)"
50,technician,divorced,tertiary,no,no,yes,unknown,5,may,98,1,-1,0,unknown,no,hombre,dd35038,242300.0,,0,"[50, 60)"
43,management,married,tertiary,no,yes,no,unknown,5,may,256,1,-1,0,unknown,no,mujer,dq62577,265000.0,,0,"[40, 50)"
61,blue-collar,divorced,primary,no,yes,no,unknown,5,may,82,2,-1,0,unknown,no,hombre,uv01406,367800.0,,0,"[60, 70)"
47,admin.,married,secondary,no,yes,no,unknown,5,may,577,1,-1,0,unknown,no,mujer,hm18876,246900.0,,0,"[40, 50)"
48,self-employed,married,tertiary,no,yes,no,unknown,5,may,286,1,-1,0,unknown,no,hombre,jx84041,225700.0,,0,"[40, 50)"
44,blue-collar,married,secondary,no,yes,no,unknown,5,may,477,1,-1,0,unknown,no,mujer,ng74613,282500.0,,0,"[40, 50)"
35,student,single,unknown,no,yes,no,unknown,5,may,611,2,-1,0,unknown,no,mujer,id07594,254800.0,,0,"[30, 40)"
